"","full_address","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","sold_date","sold_year","n1_total","total_credit_amt","taxable_income_amt","mortgageint_amt","p_mortgageint_nr","inctax_amt","p_unemploy_nr","agi_amt","num_dependents","p_re_taxes_nr","agi_bucket"
"1933","17 Pine Rd, Hammonton, NJ, 08037","for_sale",385000,3,3,1.06,"17 Pine Rd","Hammonton","New Jersey","08037",2183,2011-02-24,"2011",11944,0.368469524447421,34.2553583389149,2.52051239115874,0.296048225050234,5.66267582049565,0.17724380442063,53.7748660415271,0.857669122572003,0.352896851975887,2.36118553248493
"1934","17 Pond Meadow Rd, Killingworth, CT, 06419","for_sale",829900,4,3,13.8,"17 Pond Meadow Rd","Killingworth","Connecticut","06419",2589,2014-12-01,"2014",3170,0.446372239747634,76.61261829653,4.03690851735016,0.438485804416404,15.7533123028391,0.0599369085173502,102.058990536278,0.514195583596215,0.523659305993691,3.23659305993691
"1935","17 Sherwood Ave, Greenwich, CT, 06831","for_sale",2800000,6,5,2.33,"17 Sherwood Ave","Greenwich","Connecticut","06831",4070,2013-02-22,"2013",7510,7.4340878828229,501.607723035952,6.47177097203728,0.327563249001332,152.114780292943,0.0439414114513981,601.718242343542,0.565912117177097,0.459387483355526,3.54460719041278
"1936","17 Sherwood Dr, Larchmont, NY, 10538","for_sale",1550000,5,5,0.18,"17 Sherwood Dr","Larchmont","New York","10538",2340,2012-11-27,"2012",8040,1.80559701492537,286.181592039801,7.75174129353234,0.425373134328358,77.1820895522388,0.054726368159204,357.183706467662,0.756218905472637,0.555970149253731,3.8407960199005
"1937","17 State St, Westfield, MA, 01085","for_sale",259900,4,1,0.17,"17 State St","Westfield","Massachusetts","01085",1454,2012-03-12,"2012",18760,0.357995735607676,39.2458955223881,2.20618336886994,0.299040511727079,6.46695095948827,0.103411513859275,57.4768123667377,0.547974413646055,0.340085287846482,2.47494669509595
"1938","17 Terminal Ave, Carteret, NJ, 07008","for_sale",514900,NA,NA,0.11,"17 Terminal Ave","Carteret","New Jersey","07008",1000,2014-06-30,"2014",11470,0.344376634699215,29.3782911944202,1.55091543156059,0.196163905841325,4.37506538796861,0.0688753269398431,47.5045335658239,0.696599825632084,0.23539668700959,2.28073234524847
"1939","17 Town House Dr, Pomfret, CT, 06259","for_sale",265000,2,2,2.24,"17 Town House Dr","Pomfret","Connecticut","06259",2739,2010-05-04,"2010",1738,0.506329113924051,53.8947065592635,4.15074798619102,0.403337169159954,9.70771001150748,0.144418929804373,76.3665132336018,0.632336018411968,0.459723820483314,2.81415420023015
"1940","17 Village Way Unit 3, Vernon, NJ, 07462","for_sale",159900,3,2,NA,"17 Village Way Unit 3","Vernon","New Jersey","07462",NA,2013-11-18,"2013",3310,0.364652567975831,40.4341389728097,2.69335347432024,0.359516616314199,6.53232628398792,0.114803625377644,60.0631419939577,0.555891238670695,0.404833836858006,2.65861027190332
"1941","17 W 67th St Apt 3F, New York City, NY, 10023","for_sale",945000,1,1,0.17,"17 W 67th St Apt 3F","New York City","New York","10023",700,2014-11-15,"2014",33720,1.89048042704626,303.424495848161,3.65130486358244,0.305753262158956,89.5120996441281,0.0403321470937129,367.688760379597,0.284104389086595,0.349644128113879,3.88552787663108
"1942","17 W 7th Ave, Pine Hill, NJ, 08021","for_sale",189500,2,NA,0.17,"17 W 7th Ave","Pine Hill","New Jersey","08021",1392,2011-01-14,"2011",22685,0.352126956138417,26.3713026228786,1.82830063918889,0.269693630152083,3.77998677540225,0.18029535375799,43.4455366982588,0.684240687679083,0.302931452501653,2.1483799867754
"1943","17 Wildflower Ln, Morrisonville, NY, 12962","for_sale",450000,4,4,0.91,"17 Wildflower Ln","Morrisonville","New York","12962",4800,2014-09-08,"2014",2640,0.369318181818182,39.5306818181818,1.40795454545455,0.257575757575758,5.9719696969697,0.0681818181818182,58.2939393939394,0.534090909090909,0.291666666666667,2.61742424242424
"1944","17 Winslow Dr, Atkinson, NH, 03811","for_sale",1595000,5,5,0.87,"17 Winslow Dr","Atkinson","New Hampshire","03811",5460,2012-10-02,"2012",3740,0.317647058823529,62.6187165775401,3.87967914438503,0.406417112299465,11.9802139037433,0.0668449197860963,84.5032085561497,0.486631016042781,0.478609625668449,3.03208556149733
"1945","17-85 215th St Unit 2L, Bayside, NY, 11360","for_sale",499000,1,1,NA,"17-85 215th St Unit 2L","Bayside","New York","11360",NA,2013-08-08,"2013",9940,0.312273641851107,60.2958752515091,2.96156941649899,0.358148893360161,11.9572434607646,0.0492957746478873,84.111569416499,0.41851106639839,0.430583501006036,3.03923541247485
"1946","170 72nd St Apt 502, Brooklyn, NY, 11209","for_sale",159000,NA,1,NA,"170 72nd St Apt 502","Brooklyn","New York","11209",525,2014-04-18,"2014",34210,0.240134463607132,50.3533469745688,1.6760304004677,0.170710318620286,9.92870505700088,0.0444314527915814,70.479421221865,0.519438760596317,0.209880152002339,2.68225665010231
"1947","170 Debbie Dr, Meriden, CT, 06451","for_sale",99900,NA,NA,0.87,"170 Debbie Dr","Meriden","Connecticut","06451",NA,2010-12-07,"2010",11396,0.397946647946648,27.6991926991927,2.27834327834328,0.285100035100035,3.9467356967357,0.189364698139698,44.8073885573886,0.604071604071604,0.31958581958582,2.22007722007722
"1948","170 E 77th St Apt 3C, New York City, NY, 10075","for_sale",3850000,4,4,NA,"170 E 77th St Apt 3C","New York City","New York","10075",2500,2011-07-19,"2011",14209,1.6391723555493,267.829755788585,5.00084453515378,0.332676472658174,74.1199239918362,0.0598212400591175,344.257512843972,0.283623055809698,0.36990639735379,3.59898655781547
"1949","170 E 77th St Unit 10E, New York City, NY, 10075","for_sale",1100000,1,1,NA,"170 E 77th St Unit 10E","New York City","New York","10075",895,2014-03-17,"2014",14320,2.52597765363128,390.50998603352,4.06082402234637,0.331703910614525,119.332960893855,0.0286312849162011,484.096787709497,0.28840782122905,0.370111731843575,3.83170391061453
"1950","170 E 94th St Apt 5D, New York City, NY, 10128","for_sale",469000,1,1,NA,"170 E 94th St Apt 5D","New York City","New York","10128",NA,2014-08-08,"2014",33260,2.00009019843656,278.373120865905,3.34167167769092,0.244437763078773,80.1386650631389,0.0351773902585688,347.519031870114,0.318400481058328,0.276608538785328,3.62327119663259
"1951","170 E End Ave Apt 2G, New York, NY, 10128","for_sale",4150000,3,4,NA,"170 E End Ave Apt 2G","New York","New York","10128",2235,2010-03-02,"2010",32636,1.65066184581444,208.979133472239,4.5960595661233,0.259682559137149,56.3619622502758,0.0759590636107366,277.102126486089,0.318298811128815,0.287167545042285,3.35136046084079
"1952","170 Elm St, Farmington, NH, 03835","for_sale",159500,NA,NA,50,"170 Elm St","Farmington","New Hampshire","03835",NA,2013-02-15,"2013",3270,0.321406727828746,28.8495412844037,1.51284403669725,0.201834862385321,3.88960244648318,0.0672782874617737,45.2993883792049,0.519877675840979,0.220183486238532,2.24464831804281
"1953","170 Gatzmer Ave, Jamesburg, NJ, 08831","for_sale",5e+05,3,2,0.19,"170 Gatzmer Ave","Jamesburg","New Jersey","08831",1543,2010-04-09,"2010",23689,0.355354806028114,55.3978639875047,4.91962514247119,0.413229769091139,10.5732196378066,0.123010680062476,81.2200599434337,0.509012621892017,0.572417577778716,2.99565199037528
"1954","170 Picadilly Pl, Franklin Twp, NJ, 08873","for_sale",299000,2,2,0.09,"170 Picadilly Pl","Franklin Twp","New Jersey","08873",NA,2010-11-03,"2010",25155,0.457602862254025,48.8166169747565,4.0513615583383,0.364023057046313,8.76068376068376,0.137348439674021,71.2659113496323,0.580401510634069,0.436692506459948,2.83907771814749
