,full_address,status,price,bed,bath,house,acre_lot,house*acre lot,street,city,state,zip_code,house_size,sold_date,sold_year,n1_total,total_credit_amt,taxable_income_amt,mortgageint_amt,p_mortgageint_nr,inctax_amt,p_unemploy_nr,agi_amt,num_dependents,p_re_taxes_nr,agi_bucket
1738,"2009 E 57th St Unit 113A, Brooklyn, NY, 11234",for_sale,189000,1,1,0,NA,0,2009 E 57th St Unit 113A,Brooklyn,New York,11234,730,9/18/13,2013,41180,0.353715396,36.83343856,2.87459932,0.264205925,6.486571151,0.076250607,58.85947062,0.66998543,0.304273919,2.48810102
1739,"2009 Windrow Dr, Princeton, NJ, 08540",for_sale,375000,2,2,1,NA,0,2009 Windrow Dr,Princeton,New Jersey,8540,1469,10/9/14,2014,20200,1.356732673,176.7825743,4.651683168,0.383663366,47.23420792,0.034158416,218.9871782,0.670792079,0.520792079,3.747524752
1740,"201-10 119th Ave, Saint Albans, NY, 11412",for_sale,679999,4,3,1,0.09,0.09,201-10 119th Ave,Saint Albans,New York,11412,1063,6/9/11,2011,18127,0.362553103,20.8268329,2.716334749,0.231588239,2.789981795,0.095989414,38.89181883,0.676614994,0.244000662,2.036520108
1741,"201 Arborlea Ave, Yardley, PA, 19067",for_sale,499000,3,3,1,0.27,0.27,201 Arborlea Ave,Yardley,Pennsylvania,19067,2036,11/2/12,2012,26240,0.383727134,75.34035823,4.029954268,0.396341463,15.81425305,0.089557927,100.3839558,0.605564024,0.465320122,3.065167683
1742,"201 Cascade Rd, Stamford, CT, 06903",for_sale,1400000,5,5,1,1,1,201 Cascade Rd,Stamford,Connecticut,6903,4982,2/7/11,2011,6883,1.202527967,175.5173616,9.317884643,0.485979951,45.96672962,0.064797327,224.1115793,0.653929972,0.62792387,3.782071771
1743,"201 E 28th St Unit 15J, New York, NY, 10016",for_sale,950000,2,1,0,NA,0,201 E 28th St Unit 15J,New York,New York,10016,950,8/10/11,2011,31296,1.232298057,152.8480956,3.318922546,0.215618609,36.83809433,0.057930726,196.7146281,0.172482106,0.252811861,3.423440695
1744,"201 E 37th St Apt 11B, New York City, NY, 10016",for_sale,675000,1,1,0,NA,0,201 E 37th St Apt 11B,New York City,New York,10016,802,8/15/12,2012,31020,1.148903933,158.2631206,2.974403611,0.211154094,38.97053514,0.05448098,202.7296583,0.175048356,0.249516441,3.461637653
1745,"201 E 62nd St Apt 3C, New York City, NY, 10065",for_sale,1650000,2,2,0,NA,0,201 E 62nd St Apt 3C,New York City,New York,10065,1620,1/3/13,2013,15670,2.234460753,341.322208,3.547032546,0.269304403,105.3328653,0.040204212,445.6828973,0.276962348,0.318442884,3.798978941
1746,"201 E 80th St Apt 11E, New York City, NY, 10075",for_sale,1950000,2,2,0,NA,0,201 E 80th St Apt 11E,New York City,New York,10075,1234,7/24/13,2013,14330,2.321423587,320.0328681,4.184159107,0.332868109,95.4995813,0.043265876,407.789044,0.288904396,0.371249128,3.736217725
1747,"201 E 80th St Apt 11E, New York, NY, 10075",for_sale,1950000,2,2,0,NA,0,201 E 80th St Apt 11E,New York,New York,10075,1234,7/24/13,2013,14330,2.321423587,320.0328681,4.184159107,0.332868109,95.4995813,0.043265876,407.789044,0.288904396,0.371249128,3.736217725
