"","full_address","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","sold_date","sold_year","n1_total","total_credit_amt","taxable_income_amt","mortgageint_amt","p_mortgageint_nr","inctax_amt","p_unemploy_nr","agi_amt","num_dependents","re_taxes_nr","agi_bucket"
"252","1016 5th Ave Unit 8B, New York City, NY, 10028","for_sale",4850000,3,4,NA,"1016 5th Ave Unit 8B","New York City","New York","10028",NA,2013-05-13,"2013",25370,13322.7682301931,1605260.11391407,20408.0484824596,7100,485783.842727631,0.043358297201419,1992832.46314545,1586.17658651951,1602.14426487978,3.70555774536855
"253","1017 Weldin Cir, Wilmington, DE, 19803","for_sale",725000,5,4,0.38,"1017 Weldin Cir","Wilmington","Delaware","19803",3976,2014-06-27,"2014",11000,731.482727272727,160639.670909091,7477.98,4380,32414.4336363636,0.0309090909090909,209316.597272727,1058.56363636364,974.3,3.38727272727273
"254","1018 S 56th St, Philadelphia, PA, 19143","for_sale",109900,3,1,0.02,"1018 S 56th St","Philadelphia","Pennsylvania","19143",960,2013-10-21,"2013",28030,1867.23474848377,81231.2846949697,2309.36211202283,2770,8304.88976097039,0.100963253656796,213673.346057795,7879.21512665002,592.29397074563,1.7210132001427
"255","102-21 63rd Rd Unit B46, Forest Hills, NY, 11375","for_sale",329000,2,1,NA,"102-21 63rd Rd Unit B46","Forest Hills","New York","11375",NA,2014-06-05,"2014",35360,1811.91233031674,318952.550622172,11682.1136877828,10300,60134.1043552036,0.043552036199095,449066.043552036,2739.03563348416,1812.73472850679,3.05825791855204
"256","102-30 66th Rd Unit 9C, Forest Hills, NY, 11375","for_sale",289000,1,1,NA,"102-30 66th Rd Unit 9C","Forest Hills","New York","11375",650,2012-05-04,"2012",35180,1655.20693575895,274108.518476407,12738.3291642979,10470,49890.3681068789,0.0767481523592951,399850.087549744,2738.91699829449,1828.72939169983,2.92751563388289
"257","102 Alpine Trl Unit 102, Neptune Township, NJ, 07753","for_sale",305000,2,3,0.01,"102 Alpine Trl Unit 102","Neptune Township","New Jersey","07753",NA,2014-06-16,"2014",19750,900.548860759494,99314.9513924051,6894.58734177215,5780,14480.2369620253,0.069873417721519,169546.992405063,2272.97215189873,1155.36708860759,2.52708860759494
"258","102 Chaplin St, Pawtucket, RI, 02861","for_sale",3e+05,5,3,0.15,"102 Chaplin St","Pawtucket","Rhode Island","02861",6375,2011-11-01,"2011",13250,793.041886792453,52428.4934339623,4050.18203773585,3306,6286.12656603774,0.154264158490566,101570.498490566,1713.82271698113,624.259018867925,2.1217358490566
"259","102 Cherry Parke Unit A, Cherry Hill, NJ, 08002","for_sale",110000,2,1,NA,"102 Cherry Parke Unit A","Cherry Hill","New Jersey","08002",944,2011-11-02,"2011",11016,677.008079157589,63187.8552106028,4593.38117283951,3731,9587.18400508351,0.11801017610748,103312.346586783,1255.03195352215,777.54765795207,2.65522875816993
"260","102 Clover Hill Dr, Stamford, CT, 06902","for_sale",679000,3,3,0.24,"102 Clover Hill Dr","Stamford","Connecticut","06902",2425,2013-03-19,"2013",34030,1745.48192771084,201427.659712019,9098.06112253894,6710,41431.1930649427,0.0761093153100206,329363.992359683,4612.45665589186,1090.96091683808,2.46223920070526
"261","102 Coolidge Ave, Carteret, NJ, 07008","for_sale",387500,3,1,0.12,"102 Coolidge Ave","Carteret","New Jersey","07008",1008,2014-01-27,"2014",11470,686.507410636443,45459.0915431561,2602.72013949433,2250,5841.07236268527,0.0688753269398431,89207.9747166521,1854.63818657367,432.964254577158,2.28073234524847
"262","102 E 22nd St Apt 1C, New York City, NY, 10010","for_sale",750000,1,1,NA,"102 E 22nd St Apt 1C","New York City","New York","10010",NA,2014-06-12,"2014",17550,3676.18518518519,691584.332193732,8734.66495726496,3650,193652.182336182,0.0336182336182336,823336.608547009,638.393162393162,810.883190883191,3.73219373219373
"263","102 Fosdyke St, Providence, RI, 02906","for_sale",1250000,3,3,0.14,"102 Fosdyke St","Providence","Rhode Island","02906",3044,2012-06-18,"2012",11630,770.033533963886,142312.600171969,4691.42046431642,3270,30712.5666380052,0.0533104041272571,188116.536543422,689.595872742906,609.905417024936,2.93465176268272
"264","102 Fulton St Apt 7E, New York City, NY, 10038","for_sale",1595000,2,2,NA,"102 Fulton St Apt 7E","New York City","New York","10038",1406,2013-07-31,"2013",12300,2293.94471544715,145451.62601626,2955.28943089431,1960,34051.7300813008,0.0520325203252033,191140.881300813,798.406504065041,298.731707317073,2.94959349593496
"265","102 Golfview Dr, Sewell, NJ, 08080","for_sale",217500,3,2,NA,"102 Golfview Dr","Sewell","New Jersey","08080",2094,2011-05-03,"2011",18307,1296.57038291364,136737.474135577,12055.3816572896,8246,22508.8821215928,0.128147703064402,209677.096301961,2105.5519746545,1585.1948981264,2.89200852133064
